geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,tz_offset_min,metro_tier,slug,bbox_wkt
4930956,Boston,Boston,"BOS,Baston,Bostan,Boston,Bostona,Bostonas,Bostone,Bostonia,Bostono,Bostons,Bostun,Bostún,Mushauwomuk,Old Boston,Po-su-tun,Pokekona,Pô-sṳ-tun,Shawmut,Shawmutt,Shawnnut,Totant,Tramount,Tremont,Trimountain,Trimountaine,Vostoni,Wahstoronon:ke,Wahstoronòn:ke,Wastok,bastan,bastana,bausatana,beasrraൺ,bo shi dun,boseuteon,bostan,bostana,bostʼoni,bosuton,bwstn,bwstwn,bxstan,pastan,Βοστωνη,Βοστώνη,Бостан,Бостон,Бостън,Բոստոն,באסטאן,בוסטון,بوستون,بوسطن,بوسٹن,بۆستن,ܒܘܣܛܘܢ,बस्तन,बास्टन्,बॉस्टन,बोस्टन,বস্টন,ਬੌਸਟਨ,பாஸ்டன்,బోస్టన్,ಬಾಸ್ಟನ್,ബോസ്റ്റൺ,บอสตัน,བོ་སེ་ཊོན།,ဘော့စတွန်မြို့,ბოსტონი,ቦስቶን,ボストン,波士頓,波士顿,보스턴",42.35843,-71.05977,P,PPLA,US,,MA,025,07000,,653833,14.0,38,America/New_York,2025-04-14,-240,4,boston-us,"POLYGON((-71.36368704885179 42.133204774774775, -70.75585295114821 42.133204774774775, -70.75585295114821 42.58365522522522, -71.36368704885179 42.58365522522522, -71.36368704885179 42.133204774774775))"
3515431,Tlalnepantla,Tlalnepantla,"Tlalnepantla,Tlalnepantla de Comonfort,Tlalnepantla de Galeana,Tlalnepantla de baz,Tlanepantla de baz,te la er nei pan te la,tlal ni phæn tla,torarunepantora,Тлалнепантла,ตลัลนีแพนตลา,トラルネパントラ,特拉尔内潘特拉",19.54005,-99.19538,P,PPL,MX,,15,104,,,653410,,2260,America/Mexico_City,2024-01-02,-360,4,tlalnepantla-mx,"POLYGON((-99.43368210568845 19.314824774774774, -98.95707789431155 19.314824774774774, -98.95707789431155 19.765275225225228, -99.43368210568845 19.765275225225228, -99.43368210568845 19.314824774774774))"
5746545,Portland,Portland,"Bridgetown,P-town,PDX,Portland,Portland i Oregon,Portlandas,Portlandia,Portlando,Portlant,Portlend,Portlenda,Puddletown,Rip City,River City,Stumptown,The City of Roses,bo te lan,bwrtland  awryghwn,port land,portalainda,portalanda,portlant,portlendi,poteullaendeu,potorando,pwrtlnd,pwrtlnd  awrgn,Πόρτλαντ,Портланд,Портленд,Պորտլենդ,פורטלנד,بورتلاند، أوريغون,پورتلند، اورگن,पोर्टलंड,पोर्टलैंड,போர்ட்லன்ட்,పోర్ట్ లాండ్,ಪೋರ್ಟ್‌ಲ್ಯಾಂಡ್‌,พอร์ตแลนด์,პორტლენდი,ფორთლენდი,ポートランド,波特蘭,포틀랜드",45.52345,-122.67621,P,PPLA2,US,,OR,051,,,652503,12.0,15,America/Los_Angeles,2022-01-28,-420,4,portland-us,"POLYGON((-122.99675275282904 45.29822477477477, -122.35566724717096 45.29822477477477, -122.35566724717096 45.74867522522522, -122.99675275282904 45.74867522522522, -122.99675275282904 45.29822477477477))"
2925533,Frankfurt am Main,Frankfurt am Main,"FRA,Francfort,Francfort - Frankfurt am Main,Francfort d'o Meno,Francfort del Meno,Francfort sul Main,Francfort-sur-le-Main,Francfòrt sul Main,Franckfurt,Francoforte,Francoforte sul Meno,Francofurtum ad Moenum,Francuforti supro Menu,Francuforti suprô Menu,Frankfet,Frankford-on-Main,Frankfort,Frankfort an'n Main,Frankfort an’n Main,Frankfort on the Main,Frankfurt,Frankfurt am Main,Frankfurt del Main,Frankfurt na Majn,Frankfurt na Majni,Frankfurt nad Menem,Frankfurt nad Mohanem,Frankfurt nad Mohanom,Frankfurt-na-Majne,Frankfurt/Main,Frankfurtas prie Maino,Frankfurte pie Mainas,Frankfurto ce Majno,Frankfurto ĉe Majno,Fráncfort,Fráncfort d'o Meno,Fráncfort del Meno,Phran'kphourte,fa lan ke fu,frankfwrt,peulangkeupuleuteu,phryankapharta,prnqpwrt,Φρανκφούρτη,Франкфурт,Франкфурт на Майн,Франкфурт на Мајни,Франкфурт-на-Майне,פרנקפורט,فرانكفورت,فرانکفورت,ফ্র্যাংকফার্ট,แฟรงค์เฟิร์ต,ფრანკფურტ-ამ-მაინი,フランクフルト・アム・マイン,法兰克福,法蘭克福,프랑크푸르트",50.11552,8.68417,P,PPLA3,DE,,05,064,06412,06412000,650000,,113,Europe/Berlin,2024-09-05,120,4,frankfurt-am-main-de,"POLYGON((8.333946740986603 49.89029477477477, 9.034393259013397 49.89029477477477, 9.034393259013397 50.34074522522522, 8.333946740986603 50.34074522522522, 8.333946740986603 49.89029477477477))"
2523920,Palermo,Palermo,"PMO,Palerm,Palerma,Palermas,Palerme,Palermo,Palermu,Panormus,Pałermo,ba lei mo shi,balarm,balrmw,balyrmw,blrm,blrmt,palermo,palleleumo,palrmw,palyrmw,parerumo,plrmw,Палерма,Палермо,פלרמו,بالرمو,باليرمو,بلرم,بلرمة,بَلَرْم,پالرمو,پاليرمو,پالیرمو,پلرمو,पलेर्मो,パレルモ,巴勒莫市,팔레르모",38.1166,13.3636,P,PPLA,IT,,15,PA,082053,,648260,14.0,20,Europe/Rome,2023-11-21,120,4,palermo-it,"POLYGON((13.078152248222379 37.891374774774775, 13.649047751777621 37.891374774774775, 13.649047751777621 38.34182522522522, 13.078152248222379 38.34182522522522, 13.078152248222379 37.891374774774775))"
554840,Izhevsk,Izhevsk,"IJK,Ijevsk,Ischewsk,Ishewsk,Izevsk,Izevska,Izevskas,Izewsk,Izh,Izhau,Izhehusk,Izhevs'k,Izhevsk,Izhkar,Izjefsk,Izjevsk,Izsevszk,Iĵevsk,Iżewsk,Iževsk,Iževska,Iževskas,Ustinov,ayjyfsk,ayzhwsk,azwsk,ijebseukeu,ijefusuku,yi re fu si ke,İjevsk,ʼyzbsq,Ιζέβσκ,Іжевськ,Іжэўск,Иж,Ижау,Ижевск,Ижкар,איזבסק,إيجيفسك,ازوسک,ایژوسک,იჟევსკი,イジェフスク,伊熱夫斯克,이젭스크",56.84976,53.20448,P,PPLA,RU,,80,,,,648213,,166,Europe/Samara,2022-09-17,240,4,izhevsk-ru,"POLYGON((52.793794406032276 56.62453477477478, 53.61516559396772 56.62453477477478, 53.61516559396772 57.07498522522523, 52.793794406032276 57.07498522522523, 52.793794406032276 56.62453477477478))"
3778045,Maturín,Maturin,"MUN,Maturin,Maturinas,Maturín,ma tu lin,matulin,matwryn,Матурин,Матурін,ماتورين,ماتورین,მატურინი,馬圖林,마투린",9.74569,-63.18323,P,PPLA,VE,,16,1608,,,647459,,71,America/Caracas,2023-02-25,-240,4,maturin-ve,"POLYGON((-63.41109617718019 9.520464774774775, -62.95536382281981 9.520464774774775, -62.95536382281981 9.970915225225225, -63.41109617718019 9.970915225225225, -63.41109617718019 9.520464774774775))"
4645421,New South Memphis,New South Memphis,,35.08676,-90.05676,P,PPLX,US,,TN,157,,,641608,79.0,79,America/Chicago,2012-07-25,-300,4,new-south-memphis-us,"POLYGON((-90.33121017446963 34.861534774774775, -89.78230982553036 34.861534774774775, -89.78230982553036 35.31198522522522, -90.33121017446963 35.31198522522522, -90.33121017446963 34.861534774774775))"
3658666,Cuenca,Cuenca,"CUE,Cuenca,Kuehnka,Kuehnka shaary,Kuehnkae,Kuenka,Santa Ana de los cuatro rios de Cuenca,Santa Ana de los cuatro ríos de Cuenca,Tumipampa,ke wng ka,kuengka,kuenka,kun ka,kwanka,kwynka,Куенка,Куэнкæ,Куэнка,Куэнка шаары,Կուենկա,קואנקה,کوئنکا,کوئنکا، ایکواڈور,کوانکا,เกวงกา,კუენკა,クエンカ,昆卡,쿠엥카",-2.90055,-79.00453,P,PPLA,EC,,02,0101,010150,,636996,,2543,America/Guayaquil,2022-09-19,-300,4,cuenca-ec,"POLYGON((-79.22939587583429 -3.125775225225225, -78.77966412416572 -3.125775225225225, -78.77966412416572 -2.675324774774775, -79.22939587583429 -2.675324774774775, -79.22939587583429 -3.125775225225225))"
618426,Chisinau,Chisinau,"Chisinau,Chişinău,Chișinău,KIV,Kischinew,Kiscinev,Kishinef,Kishinehu,Kishinev,Kishiniv,Kishinjov,Kishinëv,Kisinaou,Kisinev,Kisineva,Kisinevo,Kisiniovas,Kisinjev,Kisinov,Kisinyov,Kisyneu,Kiszyniow,Kiszyniów,Kiŝinevo,Kişinev,Kišiniovas,Kišinjev,Kišiněv,Kišiņeva,Kišiňov,RMO,cisina'u,cisinau,ji xi ne wu,kishinau,kisineou,kyshynaw,qysynb,qysynyʼww,qʻsʻnʻww,Κισινάου,Κισιναου,Кишинев,Кишинэу,Кишинёв,Кишињев,Кішынёў,Կիշինյով,קישינאו,קישינב,קישיניאוו,קעשענעוו,كيشيناو,चिशिनाउ,चिशिनौ,კიშინიოვი,ኪሺንው,キシナウ,基希讷乌,키시너우",47.00556,28.8575,P,PPLC,MD,,57,,,,635994,,55,Europe/Chisinau,2024-03-18,180,4,chisinau-md,"POLYGON((28.528171983062702 46.78033477477478, 29.1868280169373 46.78033477477478, 29.1868280169373 47.230785225225226, 28.528171983062702 47.230785225225226, 28.528171983062702 46.78033477477478))"
